ya0,yb0,yc0,yd0,h,Tx,Ty,Nay,Nby,Ncy
0.40510014,0.254424779,0.269212855,0.071262226,5,748.2,1109.8337384092786,-0.0020563189491409443,-0.025703986864261796,0.0488375750420974
0.178970657,0.308802981,0.377852818,0.087098277,10,748.2,874.4077237590227,-0.0038134919324065712,-0.04766864915508212,0.09057043339465604
0.113064741,0.304261761,0.42920354,0.092221705,15,748.2,846.1799073062826,-0.00507660306282056,-0.06345753828525692,0.12056932274198813
0.08430368,0.289590126,0.463670238,0.095132743,20,748.2,841.1565647800843,-0.005932107735888326,-0.07415134669860456,0.14088755872734865
0.068351188,0.273521192,0.49021891,0.09711225,25,748.2,841.0112758791759,-0.0065427233937766635,-0.08178404242220698,0.15538968060219327
0.058104332,0.258150908,0.512109921,0.09862599,30,748.2,842.2604792110085,-0.007004655349046595,-0.08755819186308221,0.1663605645398562
0.051001397,0.24394504,0.530507685,0.099790405,35,748.2,843.9139680682379,-0.007365348355644203,-0.09206685444555197,0.17492702344654873
0.045761528,0.230903586,0.546576619,0.100838379,40,748.2,845.6844480002032,-0.007654716920167709,-0.09568396150209624,0.18179952685398287
0.041686074,0.219026549,0.560666046,0.10165347,45,748.2,847.4064045127302,-0.007896448419510867,-0.09870560524388577,0.18754064996338293
0.040288775,0.21460177,0.565905915,0.102002795,47,748.2,848.0812928665673,-0.007981949378482118,-0.0997743672310262,0.18957129773894976
